VCF Path	Size	Variants	TBI Valid
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/10/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.10.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/11/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.11.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/12/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.12.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/13/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.13.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/14/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.14.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/15/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.15.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/16/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.16.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/17-19/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.17-19.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/2/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.2.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/20-25/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.20-25.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/3/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.3.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/4/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.4.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/5/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.5.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/6/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.6.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/7/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.7.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/8/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.8.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/snv/sentdhiomr/vcfs/9/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.9.snv.sort.vcf.gz	578.4MB	FAIL([Errno 2] No such fi)	OK
hg38_broad/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ/align/ont/na/sv/sentdhiomr/HIOa-HG003-SR20x-ONT15x-46-D0-PF-ILMN-NOVASEQ.ont.na.sentdhiomr.sv.vcf.gz	3.0MB	FAIL([Errno 2] No such fi)	OK

